,sf,events,var_mix
65,0.8143186848719337,1,0.0
66,0.8192362414737947,3,0.0
67,0.7903976541774763,4,0.0
68,0.7250603908303932,2,0.0
69,0.6508230054338769,2,0.0
70,0.5915570650191823,2,0.0
71,0.5430615017219623,8,0.0
72,0.46118874349686745,5,0.0
73,0.44636676685835064,1,0.0
74,0.4172542204383637,1,0.0
75,0.3959847228709817,1,0.0
76,0.34010294720077644,3,0.0
77,0.30598548459274566,1,0.0
78,0.269452757844326,2,0.0
79,0.2590133780085069,1,0.0
80,0.2586011830793571,1,0.0
81,0.25839920324304944,1,0.0
82,0.2585909307614064,1,0.0
83,0.24840913207112103,5,0.0
84,0.20504460093668386,3,0.0
85,0.19464116362405892,1,0.0
86,0.15497890272537443,4,0.0
87,0.1257835310533935,3,0.0
88,0.11305240960441554,1,0.0
89,0.10451774595102171,1,0.0
90,0.07607235321258307,5,0.0
91,0.07458666704570475,1,0.0
92,0.07343802345096138,1,0.0
93,0.03557003697467729,8,0.0
94,0.026650620366124648,2,0.0
95,0.05884744056916518,5,0.0
96,0.0627780716056691,1,0.0
97,0.06688223924840771,2,0.0
98,0.07680224479748879,1,0.0
99,0.08040361950493492,1,0.0
100,0.10301290574955733,2,0.0
101,0.10969136250201753,1,0.0
102,0.11118612221845223,1,0.0
103,0.12061472112903791,2,0.0
104,0.1400511035313315,1,0.0
105,0.1630123835140099,2,0.0
106,0.18882780268362576,1,0.0
107,0.2500370936400175,1,0.0
108,0.3260115014423017,4,0.0
109,0.32603345511280474,1,0.0
110,0.32841473353188355,1,0.0
111,0.3374420029823053,1,0.0
112,0.3470039531296592,2,0.0
113,0.4538773499297298,8,0.0
114,0.5465119603841461,3,0.0
115,0.7133730362402633,6,0.0
116,0.710870686881295,1,0.0
117,0.6880512489852835,1,0.0
118,0.6650269598629049,1,0.0
119,0.640646746388369,1,0.0
120,0.5567877365213587,3,0.0
121,0.4822573895791718,2,0.0
122,0.3756737201854566,2,0.0
123,0.343497734572654,1,0.0
124,0.25860779779861653,2,0.0
125,0.23905932210544936,1,0.0
126,0.22674064362071064,1,0.0
127,0.2219455524901443,1,0.0
128,0.2076911130634229,4,0.0
129,0.20486577830312488,2,0.0
130,0.20918208788693188,1,0.0
131,0.2178666745021612,3,0.0
132,0.24102330670322894,3,0.0
133,0.24577631812046732,2,0.0
134,0.25734966347280114,1,0.0
135,0.2815680531969774,4,0.0
136,0.28130965698445437,1,0.0
137,0.2807609517780229,1,0.0
138,0.2800829596908756,1,0.0
139,0.22046197976460652,5,0.0
140,0.2134557838761334,1,0.0
141,0.19651418461774364,1,0.0
142,0.15006808480541198,4,0.0
143,0.14590450188958554,1,0.0
144,0.13740155274474158,1,0.0
145,0.13067543699632672,1,0.0
146,0.10155758099390766,4,0.0
147,0.07705534231218608,1,0.0
148,0.06482948294886516,2,0.0
149,0.04407890273487858,3,0.0
150,0.03726653153060292,2,0.0
151,0.03260110616280211,1,0.0
152,0.03208550525723145,1,0.0
153,0.013806037592553323,5,0.0
154,0.01019313839613864,1,0.0
155,0.004172984193994519,3,0.0
156,0.0037858512569565093,1,0.0
157,0.0038129295393006346,1,0.0
158,0.003301458740995633,4,0.0
159,0.0030243084743807693,1,0.0
